fen,uci,comment
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c7c5,"I usually choose the Sicilian defence when faced with e4, because I like the tactical battles that often occurs."
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,f1b5,"I don't think that this is a good 2nd move for White, since I can drive the bishop back, and in the bargain get a6 (the najdorf move) without spending tempo on it. Thats why I played a6."
rnbqkbnr/pp1ppppp/8/1Bp5/4P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,a7a6,"a6 looks to be the correct move here. Nc6 would just put your knight in a position that justifies his dubious bishop move. Bb5 is a move that works when the knight is already on c6 or in systems where the black d pawn has already moved. Here you are correct, it is a wasted tempo, and your move is quite correct."
rnbqkbnr/1p1ppppp/p7/1Bp5/4P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,b5c4,"Now, this is a position I have met a LOT by FICS players. That is, that they play 1. e4 followed by 2. Bc4. I do not know why this is used so commonly, since it is not a book move in the sicilian. Does this move have any value? In my opinion it looses foothold in the centre. The reason most people play Bc4 on the second move is that they started playing chess by playing Qh5 on the third move trying to mate quickly with the queen raid, and are so used to playing the Bishop to that square that they do not know any better. These players are not familair with sicilian or other non head-pawn systems (i.e. e4, e5) that they just play the move by rote."
rnbqkbnr/1p1ppppp/p7/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 3,e7e6,"Preparing a strike at d5. In the sicilian, if black can effect an early d5 without loss of material, all other things being equal, black has equalized. White has done nothing to prevent this so far other than let you have free moves."
rnbqkbnr/1p1p1ppp/p3p3/2p5/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 4,b1c3,"Nf3 would have been a slight improvement here. Nc3 stops whites c pawn from advancing, which is a key pawn to help contest the center. Black can now play just about any pawn move at will here. White has given up the first move initiative."
rnbqkbnr/3p1ppp/p3p3/1pp5/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 0 5,c4e2,"I have trapped several bishops in blitz games by this set-up, but my plan here is to kick the bishop away from the diagonal, and thus control the d5 square. It's a good idea to assume that your opponent will play the best move and plan accordingly. When you played b5, Bb3 should have not even entered your mind. It only costs you needless thought processing on a move that just loses that you could spend on strategy on what happens on the only reply which is Be2. Not saying that you did spend that much time on that move, but it is good advice nonetheless."
rnbqkbnr/3p1ppp/p3p3/1pp5/4P3/2N5/PPPPBPPP/R1BQK1NR b KQkq - 1 5,c8b7,"A normal developing move. Please make comments if you find soemething wrong with the move order, or suggest better plans of delevopement than what is done here. Bb7 is probably best. Nc6 is also a fine move. It is still early in the opening, and black needs to start developing, so either move is fine. Black has to keep in consideration the d4 break for white. White wants to get his Knight to f3 and play d4 as soon as possible, freeing his game. White has not played the best moves so far and black has responded nicely."
rn1qkbnr/1b1p1ppp/p3p3/1pp5/4P3/2N5/PPPPBPPP/R1BQK1NR w KQkq - 2 6,e2f3,"I don't mean to be negative but this move is just terrible. He has moved the bishop now for the 4th time! From b5-c4-e2-f3. The knight belongs on that square. Strategically speaking, he has given up the square he needs for the knight, where it will control the important e5 square, and now the bishop is just ""biting on granite"" so to speak. White's play is not impressive. Black can now mobilize quickly and at will, since white has presented no problems for the black player whatsoever. White had the first move but is already defending!"
rn1qkbnr/1b1p1ppp/p3p3/1pp5/4P3/2N2B2/PPPP1PPP/R1BQK1NR b KQkq - 3 6,d7d6,"This is the first move that I do not like for black. This pawn wants to go to d5 to equalize as discussed before... thus it has made a move already. Now to play d5, it will have to move again, wasting a tempo, when if it is held back, it can be played in one move later on. Also, Black should develop pieces, and take advantage of whites lack of development and play Nge7. (Nf6 would be hairy because of e5.)"
